BSB_frequencies_MHz BSB_timestamps BSB_var
538100.2960809767 1744772983.6778529 267.6024682520021
538497.5974871963 1744773078.5325415 436.36436179604476
538349.3362380713 1744773173.5480602 575.4377046417509
538429.2884646505 1744773272.672002 559.3155005133972
538425.9402681738 1744773372.7358656 225.98020256171878
537913.3974683434 1744773497.2194512 388.94330810974003
538006.0756442994 1744773593.192492 172.76871264455264
538257.8644528091 1744773689.6914995 360.718144105092
538531.4730693847 1744773785.7074718 245.29851536352814
538496.8302037418 1744773881.1531494 256.91739606300814
