BSB_frequencies_MHz BSB_timestamps BSB_var
538114.8057683855 1744770001.100675 299.3007639919659
538302.8149598986 1744770097.0530934 316.37906724645836
538646.3379503489 1744770193.2851107 191.94925304511486
538866.9968024045 1744770290.0928314 225.9672912627079
538748.2074126154 1744770385.2967608 397.43136808044403
538015.7725944072 1744770512.0686674 432.55285257050474
538017.6716645956 1744770607.1489766 213.00695136060108
538343.8100790977 1744770702.3416133 303.4291648818104
538310.0223753005 1744770797.5282135 380.6194959423935
538321.8410969079 1744770894.3010283 -513.0699615747027
