RSB_frequencies_MHz RSB_timestamps
537225.3201868087 1744771249.0345738 493.07567852217676
537267.6570164263 1744771345.646765 568.0875236907033
537224.6547459215 1744771446.354065 357.95762117484776
536978.1953805834 1744771541.8765728 351.05562328824425
536989.494513765 1744771637.9704597 404.49995481526497
537523.3745602816 1744771762.1467159 422.02496419903923
537525.1040484458 1744771858.2650776 268.88322720721754
537244.9102600664 1744771953.2629757 422.793238359267
537415.6913773417 1744772049.8402543 536.6889353217912
537326.2130314708 1744772147.6148665 337.7038762362195
