RSB_frequencies_MHz RSB_timestamps
537399.7224336267 1744770049.5855184 442.1396527160488
537192.3167244792 1744770145.216905 441.7434230578771
536749.1381924897 1744770240.9521613 507.8591158564602
536793.9967371076 1744770337.7080352 436.54837075009567
536357.1875183433 1744770433.4482007 444.4490576112168
537370.1337611675 1744770559.5733173 350.271920507657
537308.4827076197 1744770654.7317388 337.6739216927493
537220.1912776083 1744770749.9495156 360.7968726779846
537251.3367294073 1744770846.7419481 409.61795485826923
537145.4101695567 1744770941.8402903 497.720136757762
