RSB_frequencies_MHz RSB_timestamps
538019.9179419279 1744677436.2295454
537823.4233111739 1744677530.0502713
537559.3553248346 1744677620.1858726
537246.6730577797 1744677710.2371027
536746.3583083153 1744677800.4104347
537560.4196888208 1744677917.1351686
537373.1270698756 1744678008.3276818
537078.8750079721 1744678098.4045124
537187.9150934219 1744678191.7061276
537091.2416507304 1744678282.844568
