vib_freq_MHz timestamp
536879.8171812817 1744862472.163187
536916.3538817838 1744862560.693509
536875.4339956716 1744862650.2633035
536835.6930031851 1744862770.3063533
536921.5086226016 1744862861.5060863
536848.3253490403 1744862959.0337377
536825.6091932207 1744863083.7750213
536890.5513531417 1744863172.8298995
536881.7428592965 1744863263.4611952
536823.8706083223 1744863383.4756923
536880.9714508578 1744863473.5534256
536821.6865697801 1744863562.595303
536851.7689843997 1744863682.2153914
536856.5351044014 1744863772.6685824
536845.3150350302 1744863865.326315
536853.3370371312 1744863985.93804
536851.0625203624 1744864074.9720376
536833.2898480222 1744864164.947675
536845.2540748715 1744864285.9377346
536906.5987236723 1744864374.8800135
536837.7305509895 1744864465.9859493
536884.4146882594 1744864585.631261
536862.7355108187 1744864676.2421656
536847.2419200912 1744864765.2476661
536803.1170531362 1744864887.4362283
536836.8361583799 1744864976.4669583
536843.4224718586 1744865065.4898546
536826.2950476259 1744865186.6136265
536817.6646729782 1744865276.1412363
536790.5388089046 1744865365.1127858
536824.4149588048 1744865485.747581
536809.1482058018 1744865574.7792895
536827.0200570449 1744865663.2861874
536846.7124488652 1744865783.3569946
536790.540870294 1744865872.9138503
536862.0497830883 1744865964.0150726
536815.496076338 1744866083.5278084
536810.7457532659 1744866173.0243175
536865.3215814233 1744866263.0712469
536809.9403651208 1744866383.1162236
536827.5028393194 1744866473.1937995
536834.6437248662 1744866561.6316257
536806.8519850597 1744866680.2344024
536806.8519850597 1744866782.8909225
536071.1989188716 1744866873.3530033
536071.1989188716 1744867274.6150842
536071.198918879 1744867388.2103918
536071.198918879 1744867658.636226
536071.198918879 1744867799.1458502
536071.198918879 1744867899.6662838
536888.4903348908 1744867989.596709
536562.0109271407 1744868148.6674416
536562.0109271407 1744868238.625206
538194.7564594 1744868327.4739637
537827.5020170435 1744868482.8877125
538194.4501482993 1744868573.2969904
538194.4501482993 1744868662.7133386
538194.4501482993 1744868894.2257273
538887.8113176376 1744868987.8756618
538887.8113176376 1744869079.417206
538887.8113176376 1744869201.477272
538887.8113176376 1744869309.2837133
538887.8113176376 1744869407.5097034
540561.3316878751 1744869548.0638292
541010.4955000505 1744869976.7192206
541703.8566524312 1744870068.7353134
541703.8566524386 1744870189.1429288
541214.4083539322 1744870279.0730906
540030.7478028387 1744870370.0865738
540031.4898186475 1744870754.3351433
540031.4898186475 1744870844.2568662
538398.4381382689 1744870933.7792835
538398.4381382763 1744871056.9284894
538398.4381382763 1744871148.9812968
538398.4381382763 1744871237.8584018
538398.4381382763 1744871361.3879578
539337.54144492 1744871451.320831
539051.2512424588 1744871542.831675
539051.2512424588 1744872059.3966017
539051.2512424588 1744872150.4059536
539051.2512424588 1744872241.9582405
540071.2575112358 1744872516.2846265
540071.2575112358 1744872612.373032
540071.2575112358 1744872937.7648401
540071.2575112358 1744873543.797832
540071.2575112358 1744873964.4694183
540071.2575112358 1744874270.5386043
540071.2575112358 1744875529.7037368
540071.2575112358 1744876066.052907
540071.2575112358 1744876314.8042514
540071.2575112358 1744876565.6916676
540071.2575112358 1744876894.0981226
540071.2575112358 1744877195.2230167
540071.2575112358 1744877470.552775
540071.2575112358 1744878954.189702
540071.2575112358 1744879643.2707105
540071.2575112358 1744881796.0196998
540071.2575112358 1744882379.329313
540071.2575112358 1744882989.2303045
540071.2575112358 1744883983.285453
