BSB_frequencies_MHz BSB_timestamps
537135.0372031629 1744677404.0979517
537163.0706426054 1744677497.9110105
537522.1181985736 1744677589.6546745
537809.0001386553 1744677679.764608
537853.5590350926 1744677769.9396515
537932.4600548297 1744677886.0626547
537902.7926109433 1744677977.815251
537392.2975536883 1744678067.8660917
537918.9060159028 1744678161.182968
537860.8100863844 1744678251.2900207
