BSB_frequencies_MHz BSB_timestamps
537608.2064095587 1744675888.875679
537754.4829192758 1744676005.5801103
537556.9921779484 1744676118.8242142
537583.820868805 1744676219.3931682
537604.1647875309 1744676332.574815
537765.913071543 1744676429.2337797
537727.472607553 1744676537.2004614
537617.3689639568 1744676634.1457226
537788.1455504894 1744676733.5375772
537417.1146155298 1744676837.0775027
