BSB_frequencies_MHz BSB_timestamps BSB_var
537484.0053013414 1744851731.1727593 311.54123957788727
537320.8577112257 1744851826.7162786 266.0058008532023
537090.3924818188 1744851922.8530214 554.7248578628528
536838.1947224438 1744852017.8675063 472.2027641825902
536947.8164613992 1744852113.4729311 476.0764223244942
537220.8079125732 1744852239.5210404 267.29168386065953
537381.8917783946 1744852335.5552778 214.52133206454818
537504.5822703987 1744852432.2477458 386.7436851635587
537408.839611575 1744852527.8124478 363.24925558671583
537280.8649323136 1744852623.4177616 327.05984997031294
537200.2623835057 1744852748.6832428 607.7693748558754
537107.2235352695 1744852844.3919609 364.2768256998926
536856.6336873919 1744852940.6333923 335.45078330194775
536822.853076309 1744853035.7696552 512.9152516422336
536794.1779347956 1744853132.001409 378.400098262665
537260.1550275236 1744853257.1539383 239.54129076385234
537063.1808328629 1744853352.1043303 473.7310562578335
537081.7218144238 1744853447.7475548 416.33621678894866
536717.0352691114 1744853544.0112882 623.8316563836944
536673.3760409057 1744853640.7393513 -398.08644079004347
