BSB_frequencies_MHz BSB_timestamps BSB_var
537940.4420025647 1744771201.5513754 205.260820410563
538126.6926649958 1744771297.6244245 319.59039241679744
538347.6438032836 1744771398.3345878 273.92575490056447
538459.2403276414 1744771494.3655655 322.1223514958012
538507.9518248886 1744771589.8986776 399.3264135173917
537768.0499543399 1744771714.5705433 336.6672103265016
537828.6179741919 1744771810.2006326 418.24921125130317
537852.9927542508 1744771905.7671683 -344.96671296730904
537842.1176312864 1744772002.3349102 381.58558098503397
537995.3995353281 1744772099.479577 363.63330675739695
